,Q33_r1_c1,Q33_r2_c1,Q33_r3_c1,Q33_r4_c1,Q33_r5_c1,Q33_r6_c1,Q33_r7_c1,Q33_r8_c1,Q33_r9_c1,Q33_r10_c1,Q33_r11_c1,Q33_r12_c1,Q33_r13_c1,Q33_r14_c1,Q33_r15_c1,Q33_r16_c1,Q33_r17_c1,Q33_r18_c1,Q33_r19_c1,Q33_r20_c1,Q33_r21_c1,Q33_r22_c1,Q33_r23_c1,Q33_r24_c1,Q33_r25_c1,Q33_r26_c1,Q33_r27_c1,Q33_r28_c1,Q33_r29_c1,Q33_r30_c1,Q33_r31_c1,,,,
s.no.,Has my favorite burger ,It has wide varieties of products – beverages and snacks,It has an excellent outdoor seating,It keeps up with new products/flavors,It is value for money,Great customer service ,It has options for healthy foods in its menu,It has branches across the city I live in / easily available,It provides a convenient drive thru service,The packaging of products is great,Delivers the order quickly/within promised time,Delivers/Open 24/7,The burger tastes fresh,Décor of the shop stands out,The meat of the burger is sourced locally,It has an app to order early for me to avoid the crowd,Provides burger with different seasons ,I prefer because it is a Saudi company,I prefer because it is an international brand,It maintains consistent quality,It is a trustworthy brand,Shops are wide and spacious ,Brand is reputed/leader in the category,Highly recommended by family/friends,It has unique colors which stand out,Brand well known for customization of order,The sauces stand out,Menu has offer for family bundle,The burger  buns are soft and fresh,Potato fries / French fries are crunchy,Potato fries / French fries are more flavorful ,Meaningful,Uniqueness,Saliency,Consideration
35,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,7,8,7
36,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,7,8,6
37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,6
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,6,6,9,5
39,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,7,8,7
40,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,7,7,5
41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,7,5,5
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,6,7,6
43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,6,7,6
44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,6,6,5,5
